Parameter,Method,group,mid,mean_ddg,sd_ddg
bind_avg_all,Simba_IB,group_2,-0.875,-0.8246495859213251,1.5023241250821957
bind_avg_all,Simba_IB,group_2,-0.625,-0.6371124110563766,1.4025915147327472
bind_avg_all,Simba_IB,group_2,-0.375,-0.3095685740236149,1.2496826665601386
bind_avg_all,Simba_IB,group_2,-0.125,-0.3135348391574627,0.8467449073761291
bind_avg_all,Simba_IB,group_2,0.125,-0.2705677952999382,0.7395621345772331
bind_avg_all,Simba_IB,group_2,0.375,0.5,1.1490485194281397
bind_avg_all,Simba_SYM,group_1,-4.25,-0.892531179138322,1.788576679948481
bind_avg_all,Simba_SYM,group_1,-3.75,-0.1953164924506388,1.5668526233469522
bind_avg_all,Simba_SYM,group_1,-3.25,-0.6937244897959184,1.7621660837215318
bind_avg_all,Simba_SYM,group_1,-2.75,0.09483816964285716,2.1261169683070134
bind_avg_all,Simba_SYM,group_1,-2.25,0.035930735930735924,1.7166518413807403
bind_avg_all,Simba_SYM,group_1,-1.75,0.029563229265216016,1.6581134657925336
bind_avg_all,Simba_SYM,group_1,-1.25,-0.38425701530612244,1.687638251065258
bind_avg_all,Simba_SYM,group_1,-0.75,-0.2454461196243203,1.5903624951047812
bind_avg_all,Simba_SYM,group_1,-0.25,0.03493701799485861,1.0379395839880632
bind_avg_all,Simba_SYM,group_1,0.25,0.04436751152073733,0.8243776086933309
bind_avg_all,Simba_SYM,group_2,-4.375,-0.9418650793650793,2.0188756092029587
bind_avg_all,Simba_SYM,group_2,-4.125,-0.8651234567901235,1.6875158863402855
bind_avg_all,Simba_SYM,group_2,-3.875,-0.1133902691511387,1.724817744543863
bind_avg_all,Simba_SYM,group_2,-3.625,-0.30000000000000004,1.3805271561103643
bind_avg_all,Simba_SYM,group_2,-3.375,-0.8863415750915751,1.8662535049192095
bind_avg_all,Simba_SYM,group_2,-3.125,-0.4759834368530021,1.6503906066680605
bind_avg_all,Simba_SYM,group_2,-2.875,0.2415064102564103,2.1375626958866385
bind_avg_all,Simba_SYM,group_2,-2.625,-0.005513784461152881,2.1410542013271217
bind_avg_all,Simba_SYM,group_2,-2.375,0.35931889149102264,1.829086127562697
bind_avg_all,Simba_SYM,group_2,-2.125,-0.24190979208584842,1.574118557301556
bind_avg_all,Simba_SYM,group_2,-1.875,-0.05517316017316019,1.7766777818582418
bind_avg_all,Simba_SYM,group_2,-1.625,0.07811011904761905,1.5938181237941467
bind_avg_all,Simba_SYM,group_2,-1.375,-0.27837921626984125,1.869835802104532
bind_avg_all,Simba_SYM,group_2,-1.125,-0.46366536458333335,1.5397641141871776
bind_avg_all,Simba_SYM,group_2,-0.875,-0.36097463768115945,1.664190590662614
bind_avg_all,Simba_SYM,group_2,-0.625,-0.16909106458675424,1.5372960037812369
bind_avg_all,Simba_SYM,group_2,-0.375,0.09137537303749838,1.3796780447308215
bind_avg_all,Simba_SYM,group_2,-0.125,0.021810987386082444,0.9409250933724959
bind_avg_all,Simba_SYM,group_2,0.125,0.03812152133580705,0.8202166407721551
bind_avg_all,Simba_SYM,group_2,0.375,1.0062499999999999,1.2639533713709536
expr_avg_all,DeepDDG,group_1,-4.25,-1.1210625,NA
expr_avg_all,DeepDDG,group_1,-3.25,-3.5557256944444444,2.109652876539465
expr_avg_all,DeepDDG,group_1,-2.75,-2.7052222514005604,1.4625985458121118
expr_avg_all,DeepDDG,group_1,-2.25,-2.4621788793103447,1.4063238585169406
expr_avg_all,DeepDDG,group_1,-1.75,-2.04306726062468,1.3240323285013706
expr_avg_all,DeepDDG,group_1,-1.25,-1.7816431989173318,1.3666685948864938
expr_avg_all,DeepDDG,group_1,-0.75,-1.329084403943708,1.1370118595936807
expr_avg_all,DeepDDG,group_1,-0.25,-1.0805903554766665,0.8994864650447595
expr_avg_all,DeepDDG,group_1,0.25,-0.9965760234705272,0.8876958254177609
expr_avg_all,DeepDDG,group_1,0.75,-1.0462199074074074,0.8579584316707918
expr_avg_all,DeepDDG,group_2,-4.125,-1.1210625,NA
expr_avg_all,DeepDDG,group_2,-3.375,-5.896010416666666,0.25584007226805777
expr_avg_all,DeepDDG,group_2,-3.125,-3.3885625,2.084037074742922
expr_avg_all,DeepDDG,group_2,-2.875,-3.036527626811594,1.4348554820436983
expr_avg_all,DeepDDG,group_2,-2.625,-2.496454480593607,1.4459834602769115
expr_avg_all,DeepDDG,group_2,-2.375,-2.4815642022907647,1.3894259191579472
expr_avg_all,DeepDDG,group_2,-2.125,-2.4423427348652638,1.42719217667893
expr_avg_all,DeepDDG,group_2,-1.875,-2.2835590028240333,1.432322131010956
expr_avg_all,DeepDDG,group_2,-1.625,-1.7763995464852607,1.1391679986804708
expr_avg_all,DeepDDG,group_2,-1.375,-1.9763733340820604,1.3812538931071494
expr_avg_all,DeepDDG,group_2,-1.125,-1.6160705171462524,1.3355905156502967
expr_avg_all,DeepDDG,group_2,-0.875,-1.5101971215497694,1.2042614052961957
expr_avg_all,DeepDDG,group_2,-0.625,-1.198708937014522,1.0693256491916607
expr_avg_all,DeepDDG,group_2,-0.375,-1.1327729140506777,0.9204800261461356
expr_avg_all,DeepDDG,group_2,-0.125,-1.0424212139677829,0.882548855764398
expr_avg_all,DeepDDG,group_2,0.125,-0.9763646882907753,0.862407711188775
expr_avg_all,DeepDDG,group_2,0.375,-1.1281403751123091,1.037102404815318
expr_avg_all,DeepDDG,group_2,0.625,-1.0462199074074074,0.8579584316707918
expr_avg_all,mCSM,group_1,-4.25,1.4115,NA
expr_avg_all,mCSM,group_1,-3.25,-1.1807708333333333,1.1888734988258796
expr_avg_all,mCSM,group_1,-2.75,-1.2758072478991596,0.9550331231373841
expr_avg_all,mCSM,group_1,-2.25,-1.180216663245758,0.9379099316355274
expr_avg_all,mCSM,group_1,-1.75,-1.046777876344086,0.7819249383242357
expr_avg_all,mCSM,group_1,-1.25,-0.8742404624277457,0.7954947343743797
expr_avg_all,mCSM,group_1,-0.75,-0.7077963181148749,0.7692673217362093
expr_avg_all,mCSM,group_1,-0.25,-0.5803015067123679,0.5740655374322545
expr_avg_all,mCSM,group_1,0.25,-0.6145684972481454,0.5937717646594189
expr_avg_all,mCSM,group_1,0.75,-0.8939166666666666,0.6908476204338341
expr_avg_all,mCSM,group_2,-4.125,1.4115,NA
expr_avg_all,mCSM,group_2,-3.375,-1.727375,1.3878738347738964
expr_avg_all,mCSM,group_2,-3.125,-1.1417276785714285,1.1929229178890675
expr_avg_all,mCSM,group_2,-2.875,-1.3098451086956522,1.0281444760621588
expr_avg_all,mCSM,group_2,-2.625,-1.2543587328767123,0.9089470515457587
expr_avg_all,mCSM,group_2,-2.375,-1.1980866477272727,0.9917669539406827
expr_avg_all,mCSM,group_2,-2.125,-1.1619310977297896,0.8819278108740515
expr_avg_all,mCSM,group_2,-1.875,-1.1289863569967864,0.8053922904797343
expr_avg_all,mCSM,group_2,-1.625,-0.955621533851636,0.7472285072163948
expr_avg_all,mCSM,group_2,-1.375,-1.0220092467804731,0.8240471854188003
expr_avg_all,mCSM,group_2,-1.125,-0.7485974853577795,0.7499309188602038
expr_avg_all,mCSM,group_2,-0.875,-0.8323533251231527,0.8580569792109427
expr_avg_all,mCSM,group_2,-0.625,-0.6181329407294833,0.686100677747236
expr_avg_all,mCSM,group_2,-0.375,-0.6060940186419396,0.6054795115029641
expr_avg_all,mCSM,group_2,-0.125,-0.5614354705383637,0.5496439565244572
expr_avg_all,mCSM,group_2,0.125,-0.5958434403036577,0.5654333534246959
expr_avg_all,mCSM,group_2,0.375,-0.7364580188679245,0.7477911115096852
expr_avg_all,mCSM,group_2,0.625,-0.8939166666666666,0.6908476204338341
expr_avg_all,Simba_IB,group_1,-4.25,1.425,NA
expr_avg_all,Simba_IB,group_1,-3.25,-1.5358333333333334,1.5307506516318274
expr_avg_all,Simba_IB,group_1,-2.75,-0.8207983193277311,1.6574289524674166
expr_avg_all,Simba_IB,group_1,-2.25,-0.8886288998357964,1.7373477147716139
expr_avg_all,Simba_IB,group_1,-1.75,-0.5457887864823349,1.4570323352369352
expr_avg_all,Simba_IB,group_1,-1.25,-0.47586429947701625,1.3158311494500319
expr_avg_all,Simba_IB,group_1,-0.75,-0.340280559646539,1.1044804622588107
expr_avg_all,Simba_IB,group_1,-0.25,-0.2546903717627402,0.7664067839512322
expr_avg_all,Simba_IB,group_1,0.25,-0.4414584828906437,0.8589288953166518
expr_avg_all,Simba_IB,group_1,0.75,-1.2013888888888888,1.1017366532881863
expr_avg_all,Simba_IB,group_2,-4.125,1.425,NA
expr_avg_all,Simba_IB,group_2,-3.375,-2.74375,1.3346640494896085
expr_avg_all,Simba_IB,group_2,-3.125,-1.4495535714285714,1.528068717788264
expr_avg_all,Simba_IB,group_2,-2.875,-1.0209239130434782,1.786582036534577
expr_avg_all,Simba_IB,group_2,-2.625,-0.6946917808219178,1.5637899671739472
expr_avg_all,Simba_IB,group_2,-2.375,-0.8827888257575758,1.7145816671745502
expr_avg_all,Simba_IB,group_2,-2.125,-0.8946047895902547,1.7653278625300006
expr_avg_all,Simba_IB,group_2,-1.875,-0.8016579024247736,1.5343881290191117
expr_avg_all,Simba_IB,group_2,-1.625,-0.26206997084548106,1.3139943299874453
expr_avg_all,Simba_IB,group_2,-1.375,-0.6318523510032944,1.3333932468987952
expr_avg_all,Simba_IB,group_2,-1.125,-0.34323274764451234,1.2894620480065455
expr_avg_all,Simba_IB,group_2,-0.875,-0.4989320900774103,1.173484933521513
expr_avg_all,Simba_IB,group_2,-0.625,-0.2260739614994934,1.0392052476858207
expr_avg_all,Simba_IB,group_2,-0.375,-0.21115594513667535,0.8876414246087403
expr_avg_all,Simba_IB,group_2,-0.125,-0.27921891156462586,0.6881111949868706
expr_avg_all,Simba_IB,group_2,0.125,-0.39997895100069014,0.8317861584296903
expr_avg_all,Simba_IB,group_2,0.375,-0.7114667565139263,0.9847888280391429
expr_avg_all,Simba_IB,group_2,0.625,-1.2013888888888888,1.1017366532881863
expr_avg_all,Simba_SYM,group_1,-4.25,2.075,NA
expr_avg_all,Simba_SYM,group_1,-3.25,-1.1995833333333332,1.5996985280818152
expr_avg_all,Simba_SYM,group_1,-2.75,-0.2806547619047619,1.8782694702147884
expr_avg_all,Simba_SYM,group_1,-2.25,-0.36280959222769565,1.9698560445730464
expr_avg_all,Simba_SYM,group_1,-1.75,-0.044332565284178185,1.6185410470518533
expr_avg_all,Simba_SYM,group_1,-1.25,-0.048828791632259845,1.4542207043695285
expr_avg_all,Simba_SYM,group_1,-0.75,0.0037886597938144324,1.2179588884831005
expr_avg_all,Simba_SYM,group_1,-0.25,0.07916788499025341,0.8558272063156945
expr_avg_all,Simba_SYM,group_1,0.25,-0.1319442450346973,0.9002285741235324
